PN;End-of-Sale Date;End of New Service Attachment Date;End of Service Contract Renewal Date;Last Date of Support; омментарий
CISCO887-K9;December 20, 2011;December 19, 2012;March 19, 2016;December 31, 2016;
CiscoASR1001;;;;;
CiscoASR1002(ESP10);;;;;
CiscoASR1002(ESP5);;;;;
CiscoASR1002-F;;;;;
CiscoASR1004(ESP20);;;;;
CiscoASR1006(ESP20);;;;;
CiscoASR1006(ESP40);;;;;
CiscoASR-9001;;;;;
CiscoASR-9006;;;;;
CiscoASR-9006-V2;;;;;
CiscoASR-9010;;;;;
CiscoASR-9010-V2;;;;;
CiscoC6506(SUP720);;;;;
CiscoC6506-E(SUP720);;;;;
CiscoC6509(SUP720);;;;;
CiscoC6509-E(SUP720);;;;;
CiscoC6509-E(VS-S720);;;;;
CiscoCRS-8/S;;;;;
CiscoME-3800X-24FS-M;;;;;
CiscoME-4924-10GE;;;;;
CISCOSB101-K9;;;;;
CISCOSOHO97-K9-64;;;;;
CiscoWS-C2912-LRE-XL;;;;;
CiscoWS-C2950-12;;;;;
CiscoWS-C2950-24;;;;;
CiscoWS-C2950ST-24-LRE;;;;;
CiscoWS-C2950ST-8-LRE;;;;;
CiscoWS-C3560-24PS;;;;;
CiscoWS-C4900M;;;;;
CiscoWS-C4948-10GE;;;;;
CLK-7600;July 24, 2016;July 24, 2017;October 22, 2020;July 31, 2021;
CL-X2-LR-10;;;;;
CP-PWR-CUBE-4;;;;;
CPS-HDD-6TB-BNDL;;;;;без SN
CRS-8/S;July 31, 2013;July 31, 2014;October 29, 2019;July 31, 2020;
CRS-8-AC-RECT;August 31, 2012;August 31, 2013;November 29, 2016;August 31, 2017;
CRS-8-DC-PEM;August 31, 2012;August 31, 2013;November 29, 2016;August 31, 2017;
CRS-8-FC140/S;;;;;
CRS-8-LCC;July 31, 2013;July 31, 2014;October 29, 2019;July 31, 2020;
CRS-8-LCC-DC;;;;;
CRS-8-LCC-FAN-TR;January 30, 2016;January 29, 2017;April 29, 2020;January 31, 2021;
CRS-8-PSH-DC;;;;;
CRS-8-RP;January 30, 2013;January 30, 2014;April 30, 2017;January 31, 2018;
