PN,End-of-Sale Date,End of New Service Attachment Date,End of Service Contract Renewal Date,Last Date of Support,Source Link,Notes,Found as
A9K-3KW-AC,"November 13, 2014","November 13, 2015","February 8, 2019","November 30, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-731882.html,OK,A9K-3KW-AC
A9K-40GE-B,"May 7, 2015","May 6, 2016","August 2, 2019","May 31, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-733321.html,OK,A9K-40GE-B
A9K-40GE-L,"May 7, 2015","May 6, 2016","August 2, 2019","May 31, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-733321.html,OK,A9K-40GE-L
A9K-4T-L,"May 7, 2015","May 6, 2016","August 2, 2019","May 31, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-733321.html,OK,A9K-4T-L
A9K-750W-AC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9001-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-750W-AC
A9K-750W-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9001-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-750W-DC
A9K-8T-B,"September 16, 2014","September 16, 2015","December 12, 2018","September 30, 2019",http://www.cisco.com/c/en/us/products/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-731288.html,OK,A9K-8T-B
A9K-8T-L,"September 16, 2014","September 16, 2015","December 12, 2018","September 30, 2019",http://www.cisco.com/c/en/us/products/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-731288.html,OK,A9K-8T-L
A9K-ADV-VIDEO-LIC,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
A9K-AIP-LIC-B,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-AIP-LIC-B
A9K-ISM-100,"September 10, 2015","September 9, 2016","December 6, 2019","September 30, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-734174.html,OK,A9K-ISM-100
