PN,End-of-Sale Date,End of New Service Attachment Date,End of Service Contract Renewal Date,Last Date of Support,Source Link,Notes,Found as
MEM3745-128U256D,"July 6, 2012",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/wan-interface-cards/end_of_life_notice_c51-705082.html,OK,MEM3745-128U256D
MEM3745-32U64CF,"July 6, 2012",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/wan-interface-cards/end_of_life_notice_c51-705082.html,OK,MEM3745-32U64CF
MEM-7201-1GB,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,MEM-7201-1GB
MEM-7201-FLD256,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,MEM-7201-FLD256
MEM-7301-FLD64,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7301-router/end_of_life_c51-678393.html,OK,MEM-7301-FLD64
MEM800-4F,"June 30, 2008","June 30, 2009","September 30, 2012","June 30, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eol_c51-484360.html,OK,MEM800-4F
MEM870-4F,"January 26, 2013","January 26, 2014","April 23, 2017","January 31, 2018",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/end_of_life_notice_c51-713658.html,OK,MEM870-4F
MEM-C4K-FLD128M,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/catalyst-4500-supervisor-engine-8l-e/model.html,EOS status Orderable (No  specific EOS for this PN),MEM-C4K-FLD128M
MEM-C6K-CPTFL128M,"September 10, 2007","September 9, 2008","December 6, 2011","September 8, 2012",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/prod_end-of-life_notice0900aecd805f990d.html,OK,MEM-C6K-CPTFL128M
MEM-C6K-CPTFL256M,"July 31, 2015","July 31, 2016","October 31, 2019","July 31, 2020",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-733297.html,OK,MEM-C6K-CPTFL256M
MEM-CC-WAN-256M,"December 12, 2014","December 12, 2015","March 9, 2019","December 31, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-732057.html,OK,MEM-CC-WAN-256M
MEM-I/O-FLD128M,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,MEM-I/O-FLD128M
MEM-I/O-FLD48M,"June 15, 2005",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/prod_end-of-life_notice0900aecd801e90af.html,OK,MEM-I/O-FLD48M
MEM-I/O-FLD64M,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,MEM-I/O-FLD64M
MEM-MSFC2-512MB,"July 31, 2015","July 31, 2016","October 31, 2019","July 31, 2020",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-733297.html,OK,MEM-MSFC2-512MB
MEM-NPE-400-512MB,"September 9, 2010","September 9, 2011","December 8, 2014","September 8, 2015",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/eol_c51_556152.html,OK,MEM-NPE-400-512MB
MEM-NPE-G1-1GB,"February 27, 2012","February 26, 2013","May 24, 2016","February 28, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-682450.html,OK,MEM-NPE-G1-1GB
MEM-NPE-G1-256MB,"February 27, 2009","February 27, 2010","May 25, 2013","February 26, 2014",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/eol_c51_494836.html,OK,MEM-NPE-G1-256MB
MEM-NPE-G1-FLD128,"February 27, 2012","February 26, 2013","May 24, 2016","February 28, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-682450.html,OK,MEM-NPE-G1-FLD128
MEM-NPE-G1-FLD256,"February 27, 2012","February 26, 2013","May 24, 2016","February 28, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-682450.html,OK,MEM-NPE-G1-FLD256
MEM-NPE-G1-FLD64,"February 27, 2012","February 26, 2013","May 24, 2016","February 28, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-682450.html,OK,MEM-NPE-G1-FLD64
MEM-NPE-G2-1GB,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,MEM-NPE-G2-1GB
MEM-NPE-G2-FLD256,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,MEM-NPE-G2-FLD256
MEM-RSP16-512M,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,MEM-RSP16-512M
MEM-RSP16-FLD64M,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,MEM-RSP16-FLD64M
MEM-RSP720-2G,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,MEM-RSP720-2G
MEM-RSP720-CF1G,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,MEM-RSP720-CF1G
MEM-RSP720-CF512M,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,MEM-RSP720-CF512M
MEM-RSP720-SP1G,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
MEM-SIP-200-512M,"April 20, 2015","April 19, 2016","July 16, 2019","April 30, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-733146.html,OK,MEM-SIP-200-512M
MEM-VIP4-256M-SD,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,MEM-VIP4-256M-SD
MEM-VIP4-64M-SD,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,MEM-VIP4-64M-SD
MEM-VIP6-256M-SD,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,MEM-VIP6-256M-SD
MEM-VIP6-64M-SD,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,MEM-VIP6-64M-SD
MEM-X45-512MB-E,"April 16, 2013",N/A,N/A,"April 30, 2018",http://www.cisco.com/c/en/us/support/switches/catalyst-4510r-e-switch/model.html,EOS status End (No  specific EOS for this PN),MEM-X45-512MB-E
MEM-XCEF720-512M,"April 30, 2016","April 30, 2017","July 26, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-735926.html,OK,MEM-XCEF720-512M
MIDPLANE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
MOD1700-VPN,"July 31, 2009","July 31, 2010","October 26, 2013","July 30, 2014",http://www.cisco.com/c/en/us/products/collateral/routers/1800-series-integrated-services-routers-isr/eol_c51_518932.html,OK,MOD1700-VPN
MSFC4,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
N/A,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
NA,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
NETWORK-3-GR-A-RTM,"May 6, 2014",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/cloud-systems-management/prime-network/eos-eol-notice-c51-730181.html,OK,NETWORK-3-GR-A-RTM
NETWORK-3-GR-B-RTM,"May 6, 2014",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/cloud-systems-management/prime-network/eos-eol-notice-c51-730181.html,OK,NETWORK-3-GR-B-RTM
NETWORK-3-GR-C-RTM,"May 6, 2014",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/cloud-systems-management/prime-network/eos-eol-notice-c51-730181.html,OK,NETWORK-3-GR-C-RTM
NETWORK-3-GR-D-RTM,"May 6, 2014",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/cloud-systems-management/prime-network/eos-eol-notice-c51-730181.html,OK,NETWORK-3-GR-D-RTM
NFC6.0-SW-T1-K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
NM-16A,"September 14, 2009","September 14, 2010","December 10, 2013","September 13, 2014",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51_521084.html,OK,NM-16A
NM-16ESW,"November 15, 2011","November 14, 2012","February 13, 2016","November 30, 2016",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/network-modules/eol_c51-632346.html,OK,NM-16ESW
NM-1CE1T1-PRI,"December 29, 2008","December 29, 2009","March 26, 2013","December 28, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51_484362.html,OK,NM-1CE1T1-PRI
NM-1GE,"April 1, 2010","April 1, 2011","June 27, 2014","March 31, 2015",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/network-modules/eol_c51_574752.html,OK,NM-1GE
NM-2CE1T1-PRI,"December 29, 2008","December 29, 2009","March 26, 2013","December 28, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51_484362.html,OK,NM-2CE1T1-PRI
NM-2FE2W,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
NM-2FE2W-V2,"May 18, 2011","May 17, 2012","August 13, 2015","May 31, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51_635817.html,OK,NM-2FE2W-V2
NM-2W,"December 2, 2011","December 1, 2012","February 27, 2016","November 30, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-655336.html,OK,NM-2W
NM-8A/S,"September 27, 2008","September 27, 2009","December 26, 2012","September 26, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/prod_end-of-life_notice0900aecd806d9ca4.html,OK,NM-8A/S
NM-8CE1T1-PRI,"March 31, 2016","March 31, 2017","June 26, 2020","March 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eos-eol-notice-c51-735924.html,OK,NM-8CE1T1-PRI
NPE-400,"September 9, 2010","September 9, 2011","December 8, 2014","September 8, 2015",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/eol_c51_556152.html,OK,NPE-400
NPE-400-BUN,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,NPE-400-BUN
NPE-G1,"February 27, 2012","February 26, 2013","May 24, 2016","February 28, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-682450.html,OK,NPE-G1
NPE-G1-BUN,"February 27, 2012","February 26, 2013","May 24, 2016","February 28, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-682450.html,OK,NPE-G1-BUN
NPE-G2,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,NPE-G2
ONS-SC+-10G-LR,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ONS-SE-ZE-EL,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
OSM-1CHOC12/T1-SI,"July 7, 2008","July 7, 2009","October 2, 2012","July 6, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/prod_end-of-life_notice0900aecd807396bc.html,OK,OSM-1CHOC12/T1-SI
PA-2FE-FX,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-2FE-FX
PA-2FE-TX,"July 10, 2013","July 10, 2014","October 5, 2017","July 31, 2018",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/eol_C51-723710.html,OK,PA-2FE-TX
PA-4T+,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-4T+
PA-8E,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-8E
PA-8T-V35,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-8T-V35
PA-A3-OC3MM,"December 31, 2006","December 30, 2007","March 30, 2011","December 29, 2011",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/prod_end-of-life_notice0900aecd806cab5a.html,OK,PA-A3-OC3MM
PA-A3-OC3SMI,"December 31, 2006","December 30, 2007","March 30, 2011","December 29, 2011",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/prod_end-of-life_notice0900aecd806cab5a.html,OK,PA-A3-OC3SMI
PA-FE-TX,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PA-GE,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-GE
PA-H,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-H
PA-MC-8E1/120,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PA-MC-8TE1+,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-MC-8TE1+
PA-MC-STM-1SMI,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-MC-STM-1SMI
PA-MCX-8TE1,"April 20, 2010","April 20, 2011","July 16, 2014","April 19, 2015",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-559298.html,OK,PA-MCX-8TE1
PA-POS-1OC3,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-POS-1OC3
PA-POS-2OC3,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/port-adapters/end_of_life_c51-676743.html,OK,PA-POS-2OC3
PA-POS-OC3SMI,"July 31, 2006",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/prod_end-of-life_notice0900aecd802f91fd.html,OK,PA-POS-OC3SMI
PA-VXC-2T1E1+,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PC-10X-STANDARD-K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PIX-501,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PIX-506,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PIX-506E,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PIX-515E,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PIX-515E-R-DMZ-BUN,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
POM-OC3-SMIR,"February 5, 2014","February 5, 2015","May 3, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/end_of_life_notice_c51-729209.html,OK,POM-OC3-SMIR
PR031010-P0,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PRIME-3-NETWORK-K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PRP-2,"July 31, 2013","July 31, 2014","October 29, 2017","July 31, 2018",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-713527.html,OK,PRP-2
PRP-2/R,"July 31, 2013","July 31, 2014","October 29, 2017","July 31, 2018",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/end_of_life_notice_c51-713527.html,OK,PRP-2/R
PVDM-256K-4,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PVDM2-8,"June 30, 2014","June 30, 2015","September 30, 2018","June 30, 2019",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4500-series-switches/end_of_life_notice_c51-729629.html,OK,PVDM2-8
PVDM3-32,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2951-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),PVDM3-32
PWR-1900-AC/6,"April 11, 2008","April 11, 2009","July 7, 2012","April 10, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/prod_end-of-life_notice0900aecd806b0baa.html,OK,PWR-1900-AC/6
PWR-2700-AC,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,PWR-2700-AC
PWR-2700-DC,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,PWR-2700-DC
PWR-2700-DC/4,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/catalyst-6504-e-switch/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-2700-DC/4
PWR-2911-AC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2911-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-2911-AC
PWR-2911-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2911-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-2911-DC
PWR-2921-51-AC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2951-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-2921-51-AC
PWR-2921-51-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/2951-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-2921-51-DC
PWR-2KW-DC-V2,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-2KW-DC-V2
PWR-3900-AC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/3945e-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-3900-AC
PWR-3KW-AC-V2,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-3KW-AC-V2
PWR-4000-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/catalyst-6513-switch/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-4000-DC
PWR-6000-DC,"July 24, 2016",N/A,N/A,"July 31, 2021",http://www.cisco.com/c/en/us/support/routers/7613-router/model.html,EOS status End (No  specific EOS for this PN),PWR-6000-DC
PWR-7200,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,PWR-7200
PWR-7200/2,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,PWR-7200/2
PWR-7200-AC,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,PWR-7200-AC
PWR-7200-ACE,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,PWR-7200-ACE
PWR-7200-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/7206vxr-router/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-7200-DC
PWR-7201-AC,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,PWR-7201-AC
PWR-7201-DC,"September 29, 2012","September 29, 2013","December 28, 2016","September 30, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/7200-series-routers/end_of_life_c51-681414.html,OK,PWR-7201-DC
PWR-7513-ACE,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,PWR-7513-ACE
PWR-805-WW1,"September 30, 2008","September 30, 2009","December 31, 2012","September 30, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eol_c51_484922.html,OK,PWR-805-WW1
PWR-830-WW1,"September 30, 2008","September 30, 2009","December 31, 2012","September 30, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/eol_c51_484922.html,OK,PWR-830-WW1
PWR-850-870-WW1,"January 30, 2013","January 30, 2014","April 27, 2017","January 31, 2018",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/end_of_life_notice_c51-713613.html,OK,PWR-850-870-WW1
PWR-C45-1400DC,"April 16, 2013",N/A,N/A,"April 30, 2018",http://www.cisco.com/c/en/us/support/switches/catalyst-4510r-e-switch/model.html,EOS status End (No  specific EOS for this PN),PWR-C45-1400DC
PWR-C45-1400DC/2,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
PWR-C49-300AC,"January 23, 2015","January 23, 2016","April 20, 2019","January 31, 2020",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4900-series-switches/eos-eol-notice-c51-732334.html,OK,PWR-C49-300AC
PWR-C49-300AC/2,"January 23, 2015","January 23, 2016","April 20, 2019","January 31, 2020",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4900-series-switches/eos-eol-notice-c51-732334.html,OK,PWR-C49-300AC/2
PWR-C49-300DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/catalyst-4948e-f-ethernet-switch/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-C49-300DC
PWR-C49-300DC/2,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/catalyst-4948e-f-ethernet-switch/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-C49-300DC/2
PWR-C49M-1000AC,"October 30, 2016","October 30, 2017","January 28, 2021","October 31, 2021",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4900-series-switches/eos-eol-notice-c51-736182.html,OK,PWR-C49M-1000AC
PWR-C49M-1000AC/2,"October 30, 2016","October 30, 2017","January 28, 2021","October 31, 2021",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4900-series-switches/eos-eol-notice-c51-736182.html,OK,PWR-C49M-1000AC/2
PWR-C49M-1000DC,"October 30, 2016","October 30, 2017","January 28, 2021","October 31, 2021",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4900-series-switches/eos-eol-notice-c51-736182.html,OK,PWR-C49M-1000DC
PWR-C49M-1000DC/2,"October 30, 2016","October 30, 2017","January 28, 2021","October 31, 2021",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4900-series-switches/eos-eol-notice-c51-736182.html,OK,PWR-C49M-1000DC/2
PWR-CORD10-CE,"March  1, 2013",N/A,N/A,"March  2, 2018",http://www.cisco.com/c/en/us/support/collaboration-endpoints/telepresence-tx1300-47/model.html,EOS status End (No  specific EOS for this PN),PWR-CORD10-CE
PWR-CORD-EUR-C,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/conferencing/telepresence-mcu-mse-8510/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-CORD-EUR-C
PWR-ME3KX-AC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/me-3600x-24ts-m-switch/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-ME3KX-AC
PWR-ME3KX-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/me-3600x-24ts-m-switch/model.html,EOS status Orderable (No  specific EOS for this PN),PWR-ME3KX-DC
QPM-4.0-COMB-K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
QSC-SFP120GEW-1570,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
RSP16,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,RSP16
RSP440-TR,"August 30, 2017","August 30, 2018","November 28, 2021","August 31, 2022",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-737819.html,OK,RSP440-TR
RSP720-3C-10GE,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,RSP720-3C-10GE
RSP720-3C-GE,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,RSP720-3C-GE
RSP720-3CXL-10GE,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,RSP720-3CXL-10GE
RSP720-3CXL-GE,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,RSP720-3CXL-GE
R-UCL-UCM-LIC-K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
